lines: "256"
2025/01/30 49070/1810146
2025/01/29 9815/63643
2025/01/28 51553/537783
2025/01/25 4313/14767
2025/01/24 10151/53258
2025/01/23 29126/217342
2025/01/22 390445/3128518
2025/01/21 41336/1229802
2025/01/20 27111/223563
2025/01/19 154051/2280360
2025/01/18 361174/7045737
2025/01/17 109494/2162615
2025/01/16 26699/860153
2025/01/15 229360/4458476
2025/01/14 5811/5373
2025/01/13 285198/950263
2025/01/12 124712/671654
2025/01/11 36915/271516
2025/01/10 53132/563705
2025/01/09 115479/823627
2025/01/08 218024/659746
2025/01/07 54204/738412
2025/01/06 56536/737539
2025/01/05 318043/2788238
2025/01/04 69518/582979
2025/01/03 173222/2488464
2025/01/02 169498/1495704
2025/01/01 97866/640945
2024/12/31 1102643/23250808
2024/12/30 22535/186611
2024/12/29 102925/711272
2024/12/28 39646/345360
2024/12/27 147065/1462941
2024/12/26 67916/529621
2024/12/25 82655/1571273
2024/12/23 27737/281015
2024/12/22 132781/3081482
2024/12/21 115713/3249658
2024/12/20 96414/3266616
2024/12/19 62239/1139299
2024/12/18 500078/1676707
2024/12/17 60915/1884556
2024/12/16 23680/72598
2024/12/15 54233/1030597
2024/12/14 26631/651471
2024/12/13 96450/1685939
2024/12/12 42517/969860
2024/12/11 660304/662555
2024/12/10 1317215/7752606
2024/12/09 121470/1828843
2024/12/08 3388212/5034301
2024/12/07 204820/5982394
2024/12/06 568117/2763200
2024/12/05 210487/2524728
2024/12/04 137799/2148622
2024/12/03 98874/2451408
2024/12/02 2025602/10017599
2024/12/01 110984/3697594
2024/11/30 134682/3733265
2024/11/29 40748/1068296
2024/11/28 157247/2774440
2024/11/27 278913/4460095
2024/11/26 43662/583414
2024/11/25 19637/122370
2024/11/24 259458/2467921
2024/11/23 150632/3003638
2024/11/22 524781/2944597
2024/11/21 116887/4821121
2024/11/20 71345/1772465
2024/11/19 139221/4040900
2024/11/18 38349/989654
2024/11/17 40393/938116
2024/11/16 52717/1594825
2024/11/15 139591/1001344
2024/11/14 36301/454887
2024/11/12 95344/1255366
2024/11/11 101107/701719
2024/11/10 482372/1505151
2024/11/09 262764/2396506
